Query	Best Time(ms)	Avg Time(ms)	Stdev(ms)	Rate(M/s)	Per Row(ns)	Relative
q1	15689	16285	843	0.0	Infinity	1.0X
q2	14584	14628	63	0.0	Infinity	1.0X
q3	6529	6609	112	0.0	Infinity	1.0X
q4	93736	94803	1509	0.0	Infinity	1.0X
q5	51276	51479	288	0.0	Infinity	1.0X
q6	15189	16015	1169	0.0	Infinity	1.0X
q7	8480	8834	501	0.0	Infinity	1.0X
q8	6510	6772	371	0.0	Infinity	1.0X
q9	76741	77770	1455	0.0	Infinity	1.0X
q10	25422	26056	896	0.0	Infinity	1.0X
q11	37040	37689	918	0.0	Infinity	1.0X
q12	6782	6782	0	0.0	Infinity	1.0X
q13	10787	10863	108	0.0	Infinity	1.0X
q14a	95122	95181	83	0.0	Infinity	1.0X
q14b	80123	80205	115	0.0	Infinity	1.0X
q15	9085	9384	424	0.0	Infinity	1.0X
q16	30770	31031	369	0.0	Infinity	1.0X
q17	51732	52324	838	0.0	Infinity	1.0X
q18	11207	11649	625	0.0	Infinity	1.0X
q19	8116	8178	87	0.0	Infinity	1.0X
q20	7001	7210	296	0.0	Infinity	1.0X
q21	4485	4842	505	0.0	Infinity	1.0X
q22	20082	20664	824	0.0	Infinity	1.0X
q23a	73101	73432	469	0.0	Infinity	1.0X
q23b	81103	82196	1546	0.0	Infinity	1.0X
q24a	42788	43347	791	0.0	Infinity	1.0X
q24b	41788	41805	25	0.0	Infinity	1.0X
q25	52523	52638	162	0.0	Infinity	1.0X
q26	7875	8403	748	0.0	Infinity	1.0X
q27	9789	9891	144	0.0	Infinity	1.0X
q28	50863	53046	NaN	0.0	Infinity	1.0X
q29	50944	51189	347	0.0	Infinity	1.0X
q30	16794	17039	348	0.0	Infinity	1.0X
q31	38474	39103	890	0.0	Infinity	1.0X
q32	11059	11247	266	0.0	Infinity	1.0X
q33	19802	20447	912	0.0	Infinity	1.0X
q34	8169	8440	383	0.0	Infinity	1.0X
q35	25788	26606	1156	0.0	Infinity	1.0X
q36	9611	9758	208	0.0	Infinity	1.0X
q37	10653	10926	386	0.0	Infinity	1.0X
q38	24007	24170	231	0.0	Infinity	1.0X
q39a	10975	11260	402	0.0	Infinity	1.0X
q39b	10082	10573	693	0.0	Infinity	1.0X
q40	19538	19759	314	0.0	Infinity	1.0X
q41	357	480	95	0.0	Infinity	1.0X
