query	perf-before	perf-after	relative
q1	16549	15328	1.08
q2	13715	13436	1.02
q3	6155	6866	0.90
q4	95825	97157	0.99
q5	53435	48158	1.11
q6	15292	15696	0.97
q7	9217	9636	0.96
q8	7230	6929	1.04
q9	78339	76850	1.02
q10	26129	25220	1.04
q11	38251	35475	1.08
q12	6605	6184	1.07
q13	10560	11015	0.96
q14a	95703	93494	1.02
q14b	77932	77977	1.00
q15	9194	8896	1.03
q16	31798	29662	1.07
q17	52033	50085	1.04
q18	11774	10906	1.08
q19	8553	8056	1.06
q20	7676	6797	1.13
q21	4852	5474	0.89
q22	20013	20608	0.97
q23a	71726	71268	1.01
q23b	78980	77091	1.02
q24a	60967	44154	1.38
q24b	57679	41894	1.38
q25	51383	52175	0.98
q26	8874	8693	1.02
q27	10101	10016	1.01
q28	55445	54688	1.01
q29	49963	52502	0.95
q30	18085	17281	1.05
q31	45174	38848	1.16
q32	11058	10946	1.01
q33	21532	19960	1.08
q34	8749	9101	0.96
q35	27603	24615	1.12
q36	10827	10010	1.08
q37	11159	10633	1.05
q38	22756	23079	0.99
q39a	10856	11444	0.95
q39b	10779	10796	1.00
q40	19634	18661	1.05
q41	546	411	1.33
q42	6963	6797	1.02
q43	7989	7133	1.12
q44	14938	14629	1.02
q45	8125	7606	1.07
q46	8648	9602	0.90
q47	17468	16842	1.04
q48	9369	9658	0.97
q49	46175	43644	1.06
q50	28476	27885	1.02
q51	32791	32656	1.00
q52	6670	6449	1.03
q53	7202	7797	0.92
q54	26803	26774	1.00
q55	6748	6188	1.09
q56	19995	19569	1.02
q57	14470	13969	1.04
q58	19067	19151	1.00
q59	10144	10611	0.96
q60	20517	20834	0.98
q61	11942	13848	0.86
q62	7841	7746	1.01
q63	7888	7545	1.05
q64	90987	87076	1.04
q65	22847	22177	1.03
q66	17213	16603	1.04
q67	74067	70345	1.05
q68	9180	9831	0.93
q69	23950	24981	0.96
q70	15897	14780	1.08
q71	20240	21346	0.95
q72	145098	142666	1.02
q73	8100	8051	1.01
q74	33524	34271	0.98
q75	56836	56997	1.00
q76	23843	24690	0.97
q77	35300	33832	1.04
q78	90540	85165	1.06
q79	9575	9873	0.97
q80	102636	98653	1.04
q81	16294	16365	1.00
q82	15191	14428	1.05
q83	19675	20415	0.96
q84	6335	7145	0.89
q85	25217	24368	1.03
q86	7642	7793	0.98
q87	25907	26108	0.99
q88	44238	45076	0.98
q89	8635	8097	1.07
q90	9885	10166	0.97
q91	7724	8475	0.91
q92	10638	10118	1.05
q93	42272	43215	0.98
q94	21359	21243	1.01
q95	54934	54418	1.01
q96	5322	5773	0.92
q97	19027	20015	0.95
q98	8145	7551	1.08
q99	8171	8865	0.92
q5a-v2.7	55227	52145	1.06
q6-v2.7	15196	15034	1.01
q10a-v2.7	17960	18988	0.95
q11-v2.7	38476	36262	1.06
q12-v2.7	6756	6458	1.05
q14-v2.7	79958	77560	1.03
q14a-v2.7	121062	116942	1.04
q18a-v2.7	38211	40941	0.93
q20-v2.7	7119	6806	1.05
q22-v2.7	92217	91786	1.00
q22a-v2.7	12154	12465	0.98
q24-v2.7	59799	42501	1.41
q27a-v2.7	23661	22255	1.06
q34-v2.7	8802	8958	0.98
q35-v2.7	24529	26225	0.94
q35a-v2.7	19813	18891	1.05
q36a-v2.7	11110	11321	0.98
q47-v2.7	17708	16045	1.10
q49-v2.7	47762	44277	1.08
q51a-v2.7	193320	164722	1.17
q57-v2.7	14103	13595	1.04
q64-v2.7	88631	87698	1.01
q67a-v2.7	90631	82956	1.09
q70a-v2.7	14809	15023	0.99
q72-v2.7	147133	141086	1.04
q74-v2.7	33477	33020	1.01
q75-v2.7	59023	57860	1.02
q77a-v2.7	37931	38004	1.00
q78-v2.7	86369	90210	0.96
q80a-v2.7	107584	104170	1.03
q86a-v2.7	8714	9020	0.97
q98-v2.7	7750	8004	0.97
